pair,direction,entry_time,exit_time,entry_price,exit_price,size,pips,pnl,reason
AUDUSD,LONG,2025-01-02 15:00:00,2025-01-02 19:00:00,0.62153,0.62019,0.1,-14.900000000000079,-15.60000000000008,SL/TP
AUDUSD,LONG,2025-01-15 14:00:00,2025-01-15 15:00:00,0.61976,0.62432,0.1,44.10000000000008,43.40000000000008,SL/TP
AUDUSD,SHORT,2025-05-07 14:00:00,2025-05-07 22:00:00,0.64732,0.64308,0.1,40.90000000000021,40.20000000000021,SL/TP
AUDUSD,SHORT,2025-05-15 15:00:00,2025-05-16 05:00:00,0.64159,0.64185,0.1,-4.10000000000038,-4.80000000000038,SL/TP
AUDUSD,SHORT,2025-05-27 15:00:00,2025-05-28 06:00:00,0.64554,0.64441,0.1,9.799999999999644,9.099999999999646,SL/TP
AUDUSD,LONG,2025-06-20 15:00:00,2025-06-20 16:00:00,0.64897,0.64733,0.1,-17.90000000000086,-18.600000000000858,SL/TP
AUDUSD,LONG,2025-07-10 14:00:00,2025-07-10 19:00:00,0.65515,0.65735,0.1,20.499999999999797,19.799999999999798,SL/TP
AUDUSD,SHORT,2025-07-22 13:00:00,2025-07-22 15:00:00,0.65108,0.65263,0.1,-17.00000000000051,-17.70000000000051,SL/TP
AUDUSD,LONG,2025-08-07 14:00:00,2025-08-07 17:00:00,0.65215,0.64957,0.1,-27.300000000000267,-28.00000000000027,SL/TP
AUDUSD,LONG,2025-08-13 15:00:00,2025-08-13 20:00:00,0.65451,0.65404,0.1,-6.200000000000815,-6.900000000000815,SL/TP
AUDUSD,LONG,2025-08-22 13:00:00,2025-08-22 17:00:00,0.64181,0.64932,0.1,73.60000000000016,72.90000000000016,SL/TP
AUDUSD,LONG,2025-09-01 15:00:00,2025-09-02 04:00:00,0.65524,0.65465,0.1,-7.4000000000009045,-8.100000000000904,SL/TP
AUDUSD,LONG,2025-10-17 14:00:00,2025-10-20 10:00:00,0.64869,0.64961,0.1,7.700000000000319,7.00000000000032,SL/TP
AUDUSD,LONG,2025-10-23 14:00:00,2025-10-24 00:00:00,0.65016,0.65066,0.1,3.5000000000005596,2.80000000000056,SL/TP
AUDUSD,LONG,2025-11-12 13:00:00,2025-11-12 16:00:00,0.65355,0.65331,0.1,-3.9000000000001798,-4.60000000000018,SL/TP
AUDUSD,LONG,2025-11-13 13:00:00,2025-11-13 16:00:00,0.65623,0.65475,0.1,-16.299999999999258,-16.999999999999257,SL/TP
EURJPY,SHORT,2023-05-02 14:00:00,2023-05-02 17:00:00,150.677,149.832,0.01,82.99999999999989,8.229999999999988,SL/TP
EURJPY,SHORT,2023-05-19 13:00:00,2023-05-19 14:00:00,149.253,149.601,0.01,-36.30000000000132,-3.700000000000132,SL/TP
EURJPY,LONG,2023-10-20 15:00:00,2023-10-23 17:00:00,158.72,159.287,0.01,55.20000000000073,5.450000000000072,SL/TP
EURJPY,SHORT,2023-11-08 13:00:00,2023-11-08 16:00:00,160.946,161.257,0.01,-32.600000000000705,-3.3300000000000707,SL/TP
EURJPY,SHORT,2023-11-21 13:00:00,2023-11-21 21:00:00,161.593,161.891,0.01,-31.300000000000182,-3.2000000000000184,SL/TP
EURJPY,SHORT,2024-03-28 15:00:00,2024-03-29 13:00:00,163.383,163.142,0.01,22.600000000001387,2.190000000000139,SL/TP
EURJPY,LONG,2024-04-17 14:00:00,2024-04-17 19:00:00,164.462,164.3,0.01,-17.69999999999777,-1.8399999999997774,SL/TP
EURJPY,SHORT,2024-06-10 14:00:00,2024-06-10 18:00:00,168.702,168.707,0.01,-1.9999999999995453,-0.2699999999999545,SL/TP
EURJPY,LONG,2024-06-13 13:00:00,2024-06-13 17:00:00,169.66,169.049,0.01,-62.599999999999,-6.329999999999901,SL/TP
EURJPY,LONG,2024-07-08 14:00:00,2024-07-08 17:00:00,174.428,174.022,0.01,-42.10000000000059,-4.28000000000006,SL/TP
EURJPY,LONG,2024-07-30 15:00:00,2024-07-30 16:00:00,167.366,166.839,0.01,-54.20000000000152,-5.490000000000153,SL/TP
EURJPY,LONG,2024-08-02 15:00:00,2024-08-02 21:00:00,160.576,159.868,0.01,-72.29999999999984,-7.299999999999985,SL/TP
EURJPY,SHORT,2024-08-28 15:00:00,2024-08-29 04:00:00,160.798,160.96,0.01,-17.700000000000614,-1.8400000000000616,SL/TP
EURJPY,LONG,2024-10-21 13:00:00,2024-10-22 02:00:00,162.649,162.902,0.01,23.79999999999859,2.3099999999998593,SL/TP
EURJPY,LONG,2024-11-26 15:00:00,2024-11-26 19:00:00,161.156,160.539,0.01,-63.200000000001864,-6.390000000000187,SL/TP
EURJPY,SHORT,2024-12-30 13:00:00,2024-12-30 15:00:00,164.725,163.608,0.01,110.19999999999902,10.949999999999903,SL/TP
EURJPY,SHORT,2025-01-02 13:00:00,2025-01-02 17:00:00,162.436,161.465,0.01,95.60000000000036,9.490000000000036,SL/TP
EURJPY,SHORT,2025-01-27 15:00:00,2025-01-28 03:00:00,162.222,162.298,0.01,-9.09999999999934,-0.979999999999934,SL/TP
EURJPY,SHORT,2025-03-10 13:00:00,2025-03-11 09:00:00,159.571,159.847,0.01,-29.100000000001046,-2.980000000000105,SL/TP
EURJPY,SHORT,2025-03-13 13:00:00,2025-03-13 20:00:00,161.045,160.249,0.01,78.09999999999923,7.739999999999922,SL/TP
EURJPY,LONG,2025-03-18 14:00:00,2025-03-18 22:00:00,163.476,163.408,0.01,-8.300000000001205,-0.9000000000001205,FR Reversal
